client,Dealer_Code,Outlet_Name,Channel,Zone,Region,FB_Page_ID,IG_User_ID,Dealer_Status,Media_ID,Post_Date,Post_Period,Post_URL,Shortcode,Username,Media_Type,Media_Product_Type,Media_Kind,Carousel_Children,Media_Kind_Label,Is_Deleted,Deleted_Date,Is_Expired,Is_Socionix_Post,Workflow_Status,Publisher_Role,Published_By,IG_Publish_Confirmed,Container_Not_Published,Has_Insights,Views,Reach,Likes,Comments,Saves,Shares,Total_Interactions,Engagements,Profile_Visits,Follows,Profile_Activity,Profile_Activity_Bio_Link_Clicked,Profile_Activity_Call,Profile_Activity_Direction,Profile_Activity_Text,Reel_Avg_Watch_Time_Sec,Reel_Total_Watch_Time_Sec,Reel_Reposts,Reel_Skip_Rate,Story_Replies,Story_Navigation,Story_Tap_Forward,Story_Tap_Back,Story_Tap_Exit,Story_Swipe_Forward,Insights_Last_Updated
bajaj,12162,KTM Husqvarna Andheri East,ktm,West,MAHARASHTRA,748841775232461,17841408107333098,Active,18109346740839641,2026-08-10,August 2026,https://www.instagram.com/p/Db25MJ6krVb/,Db25MJ6krVb,ktm_husqvarna_andheri,IMAGE,FEED,image,,image,,,False,False,,,,False,False,True,850,479,11,0,0,5,16,16,2,0,0,,,,,,,,,,,,,,,2026-08-18
bajaj,12162,KTM Husqvarna Andheri East,ktm,West,MAHARASHTRA,748841775232461,17841408107333098,Active,18078967604320508,2026-08-09,August 2026,https://www.instagram.com/reel/Dbz6qzEMi9Z/,Dbz6qzEMi9Z,ktm_husqvarna_andheri,VIDEO,REELS,reel,,reel,,,False,False,,,,False,False,True,635,428,14,0,0,0,14,14,,,,,,,,3.66,1707.91,0,,,,,,,,2026-08-18
bajaj,12162,KTM Husqvarna Andheri East,ktm,West,MAHARASHTRA,748841775232461,17841408107333098,Active,18335194672267301,2026-08-07,August 2026,https://www.instagram.com/reel/DbtaQmBMw6j/,DbtaQmBMw6j,ktm_husqvarna_andheri,VIDEO,REELS,reel,,reel,,,False,False,,,,False,False,True,611,396,11,0,0,0,11,11,,,,,,,,2.84,1213.67,0,,,,,,,,2026-08-18
bajaj,12162,KTM Husqvarna Andheri East,ktm,West,MAHARASHTRA,748841775232461,17841408107333098,Active,18079208258705040,2026-08-05,August 2026,https://www.instagram.com/p/Dbpg1M3FtEx/,Dbpg1M3FtEx,ktm_husqvarna_andheri,IMAGE,FEED,image,,image,,,False,False,,,,False,False,True,890,408,11,0,0,0,11,11,7,0,0,,,,,,,,,,,,,,,2026-08-18
bajaj,12162,KTM Husqvarna Andheri East,ktm,West,MAHARASHTRA,748841775232461,17841408107333098,Active,17898560478484690,2026-08-04,August 2026,https://www.instagram.com/p/Dbm6jKDAO94/,Dbm6jKDAO94,ktm_husqvarna_andheri,IMAGE,FEED,image,,image,,,False,False,,,,False,False,True,561,285,8,0,0,0,8,8,0,0,0,,,,,,,,,,,,,,,2026-08-18
bajaj,12162,KTM Husqvarna Andheri East,ktm,West,MAHARASHTRA,748841775232461,17841408107333098,Active,18097702241621024,2026-08-02,August 2026,https://www.instagram.com/reel/Dbh3B8rjNOb/,Dbh3B8rjNOb,ktm_husqvarna_andheri,VIDEO,REELS,reel,,reel,,,False,False,,,,False,False,True,489,347,9,0,0,0,9,9,,,,,,,,3.48,1159.8,0,,,,,,,,2026-08-18
bajaj,12162,KTM Husqvarna Andheri East,ktm,West,MAHARASHTRA,748841775232461,17841408107333098,Active,18022441529852488,2026-07-31,July 2026,https://www.instagram.com/reel/DbdSomrEfh8/,DbdSomrEfh8,ktm_husqvarna_andheri,VIDEO,REELS,reel,,reel,,,False,False,,,,False,False,True,488,344,15,0,1,0,16,16,,,,,,,,4.37,1521.38,0,,,,,,,,2026-08-18
bajaj,12162,KTM Husqvarna Andheri East,ktm,West,MAHARASHTRA,748841775232461,17841408107333098,Active,18111132178954924,2026-07-29,July 2026,https://www.instagram.com/p/DbXbbexEVMN/,DbXbbexEVMN,ktm_husqvarna_andheri,IMAGE,FEED,image,,image,,,False,False,,,,False,False,True,471,258,7,0,0,0,7,7,0,1,0,,,,,,,,,,,,,,,2026-08-18
bajaj,12162,KTM Husqvarna Andheri East,ktm,West,MAHARASHTRA,748841775232461,17841408107333098,Active,17954517530999824,2026-07-27,July 2026,https://www.instagram.com/p/DbSLuD_l7Ny/,DbSLuD_l7Ny,ktm_husqvarna_andheri,IMAGE,FEED,image,,image,,,False,False,,,,False,False,True,432,222,9,0,0,0,9,9,1,0,0,,,,,,,,,,,,,,,2026-08-18
bajaj,12162,KTM Husqvarna Andheri East,ktm,West,MAHARASHTRA,748841775232461,17841408107333098,Active,17958362298178713,2026-07-26,July 2026,https://www.instagram.com/reel/DbPiAjFgINx/,DbPiAjFgINx,ktm_husqvarna_andheri,VIDEO,REELS,reel,,reel,,,False,False,,,,False,False,True,500,360,9,0,0,0,9,9,,,,,,,,3.35,1133.78,0,,,,,,,,2026-08-18
